Date,author,text,likes,TextBlob_Score,LLM_Polarity,LLM_Sentiment,TextBlob_Label
2026-04-29,@luuukas97,Kann ich meine GEZ lieber an Ben überweisen?,38363,1,0.8,POSITIV,POSITIV
2026-04-29,@ShawnSteinfeger24,"Krass, dass ""mit jemandem reden"" statt ""über jemanden reden"" schon fast ein revolutionärer Akt geworden ist. Hut ab vor Ben.",32050,0.35,0.8,POSITIV,POSITIV
2026-04-29,@FryJayPhilip,"Miteinander reden ist immer besser als übereinander.
Haben leider die meisten verlernt.",22128,0,0,NEUTRAL,NEUTRAL
2026-04-29,@2KTiffy,"Alle reden über ihn,Danke das du ihn selber reden lässt👏👏",18577,0,0.8,POSITIV,NEUTRAL
2026-04-29,@3nnerKoe,"Meine Güte, wo sind wir als Gesellschaft hin gekommen, daß es Mut braucht miteinander zu reden.
Danke Ben.
Danke Björn.",18279,0,0.5,POSITIV,NEUTRAL
2026-04-29,@mtotheh89,"Wieso wird er nicht ständig unterbrochen? Das ist so ungewohnt. 
Danke Ben 🎉❤",8761,0,0.6,POSITIV,NEUTRAL
2026-04-29,@King98HD,Das wird vermutlich die Populärste und Legendärste Podcast Folge überhaupt. 🙏,8588,0,0.8,POSITIV,NEUTRAL
2026-04-29,@HybridTaste-nr5od,ich gönne dem Mann so sehr das man anständig in der öffentlichkeit mit ihm spricht...,7586,1,0.5,POSITIV,POSITIV
2026-04-29,@stefanoxx2614,"Meine Partnerin war bei ihm im Geschichtskurs. Die ganze Klasse hat ihn sehr gemocht, wie sie sagte. 
Bis heute findet sie ihn super…",7171,0.333,0.5,POSITIV,POSITIV
2026-04-29,@MellowKiddd,"Es ist so angenehm diesen Menschen einfach mal in aller Ruhe reden zu hören, ohne dass er unterbrochen oder beleidigt wird. 👍🏼",5514,0.117,0.9,POSITIV,POSITIV
2026-04-29,@silentbob7358,"ich würde gerne in einer Welt leben, in der Björn Höcke keinen Personenschutz braucht.",5315,0,-0.6,NEGATIV,NEUTRAL
2026-04-29,@supikupi6170,"Was für ein tolles, respektvolles und angenehmes Gespräch. Danke dafür Ben. 👍",5073,0.333,0.9,POSITIV,POSITIV
2026-04-29,@schlumpfij.7541,"Schön, den Beiden zuzuhören. Ruhig und respektvoll ❤, genauso muss es sein",5008,0.95,0.8,POSITIV,POSITIV
2026-04-29,@eliober8529,"Schon traurig, dass wir mittlerweile Mut brauchen, um mit JEDEM zu reden.
Danke euch beiden für das entspannte und erhellende Gespräch",4940,-0.5,0.6,POSITIV,NEGATIV
2026-04-29,@ichdu4104,"der Inbegriff der Kontaktschuld bei Ben im Talk. Ich bin begeistert, dass wenigstens einer in Deutschland sich dss traut. Mein größter Respekt an dich Ben.",4834,0.333,0.8,POSITIV,POSITIV
2026-04-29,@hendrikjahnke-ch7gl,"Ich hatte Herrn Höcke als Sportlehrer in der Oberstufe im Leistungskurs. Herr Höcke war die ganze Zeit motiviert, fair und nett zu uns. Selbst diejenigen aus meiner Klasse, die Links sind, sagen heute noch, Herr Höcke war einer der besseren Lehrer.",4806,0.667,0.6,POSITIV,POSITIV
2026-04-29,@Marcel_Sagittarius,Danke an alle beteiligten die das Gespräch möglich gemacht haben.,3804,0,0.8,POSITIV,NEUTRAL
2026-04-29,@tom_storrer,"Meine „GEZ-Gebühr“ für deine wertvolle Arbeit. Weil du genau das machst, was der ÖR versäumt: Unabhängige und wertschätzende Dialoge mit Menschen führen. - Jeder kann von Höcke denken was er möchte. Entscheidend ist, dass hier ein Medium geboten wird, um sich ohne Framing eine Meinung zu bilden. Danke dafür. 🙏",3733,0.333,0.9,POSITIV,POSITIV
2026-04-29,@stefanmaciohsek73,Großartig. Endlich mal ein vollkommen unvoreingenommenes Gespräch. Vielen Dank dafür!,3724,0.667,0.9,POSITIV,POSITIV
2026-04-29,@heidibaumann8111,"Danke für 4,5h Gesprächskultur 🍀🍀🍀",3568,0,0.8,POSITIV,NEUTRAL
2026-04-29,@kayUweEinecke,Ein wunderbar sachliches Interview . So soll es sein.,3502,0.5,0.8,POSITIV,POSITIV
2026-04-29,@nordhocks,Was ein genialer Gast. Chapeau an dich Ben für deinen Mut zur Wahrheit,3359,0.5,0.9,POSITIV,POSITIV
2026-04-29,@007kickback,"Danke Ben, endlich wieder die andere Seite offen hören. Ein wirklich tolles Gespräch",3333,0.5,0.9,POSITIV,POSITIV
2026-04-29,@C13-l2y,Danke Ben......habe so sehr darauf gewartet! Endlich lässt ihn jemand offen reden....grossartig,3160,0,0.9,POSITIV,NEUTRAL
2026-04-29,@saarspion,Sehr schön das der Mann bei dir reden kann. Ich könnte ihm Stundenlang zuhören. Bodenständig und intelligent!,3123,0.667,0.8,POSITIV,POSITIV
2026-04-30,@jacquelinedewinter2996,"Wow Ben, ich habe mir hier einige Kommentare durchgelesen und bin wirklich beeindruckt.🙏

Du schaffst es, Menschen aus ganz unterschiedlichen Bubbles dazu zu bringen, sich deine Podcasts anzuhören, obwohl sie das im echten Leben vermutlich nicht tun würden. Sogar ich habe mir Inhalte angehört, bei denen ich mehrfach den Kopf geschüttelt habe und es mir ehrlich gesagt nicht leichtgefallen ist, dranzubleiben.😎

Genau darin liegt aber der Wert, denn es ist enorm wichtig, sich auch mit anderen Meinungen und Perspektiven auseinanderzusetzen, um das Gegenüber überhaupt verstehen zu können.

Ehrlich gesagt dachte ich zunächst, du würdest hier mit massivem Gegenwind und vielen Hate-Kommentaren konfrontiert werden, gerade von Menschen, die vor Björn Höcke gewarnt wurden. Doch das konnte ich so nicht beobachten. Im Gegenteil habe ich eher den Eindruck gewonnen, dass sich die Menschen bewusst die Zeit nehmen, auch unbequeme Gespräche anzuhören, auch wenn es manchmal zähneknirschend passiert.😁

Es ist eine echte Leistung deinerseits, Menschen wieder dazu zu bringen, einander zuzuhören und miteinander zu sprechen, statt nur übereinander zu reden.

Ich wünsche mir sehr, dass mehr Menschen deinem Beispiel folgen. Ich hoffe vor allem, dass du dir treu bleibst, denn ich habe leider schon einige erlebt, die mit wachsendem Erfolg die Bodenhaftung verloren haben. Dein Format ist von großer Bedeutung für unsere Gesellschaft und vielleicht wirst du damit irgendwann sogar Teil der Geschichtsbücher.😉

Danke dir 🙏",32848,0.379,0.9,POSITIV,POSITIV
2026-04-30,@jacquelinedewinter2996,"Wow Ben, ich habe mir hier einige Kommentare durchgelesen und bin wirklich beeindruckt.🙏

Du schaffst es, Menschen aus ganz unterschiedlichen Bubbles dazu zu bringen, sich deine Podcasts anzuhören, obwohl sie das im echten Leben vermutlich nicht tun würden. Sogar ich habe mir Inhalte angehört, bei denen ich mehrfach den Kopf geschüttelt habe und es mir ehrlich gesagt nicht leichtgefallen ist, dranzubleiben.😎

Genau darin liegt aber der Wert, denn es ist enorm wichtig, sich auch mit anderen Meinungen und Perspektiven auseinanderzusetzen, um das Gegenüber überhaupt verstehen zu können.

Ehrlich gesagt dachte ich zunächst, du würdest hier mit massivem Gegenwind und vielen Hate-Kommentaren konfrontiert werden, gerade von Menschen, die vor Björn Höcke gewarnt wurden. Doch das konnte ich so nicht beobachten. Im Gegenteil habe ich eher den Eindruck gewonnen, dass sich die Menschen bewusst die Zeit nehmen, auch unbequeme Gespräche anzuhören, auch wenn es manchmal zähneknirschend passiert.😁

Es ist eine echte Leistung deinerseits, Menschen wieder dazu zu bringen, einander zuzuhören und miteinander zu sprechen, statt nur übereinander zu reden.

Ich wünsche mir sehr, dass mehr Menschen deinem Beispiel folgen. Ich hoffe vor allem, dass du dir treu bleibst, denn ich habe leider schon einige erlebt, die mit wachsendem Erfolg die Bodenhaftung verloren haben. Dein Format ist von großer Bedeutung für unsere Gesellschaft und vielleicht wirst du damit irgendwann sogar Teil der Geschichtsbücher.😉

Danke dir 🙏",32848,0.379,0.9,POSITIV,POSITIV
2026-04-30,@lostplacerecords,Und das alles ohne GEZ.gebt dem Video einen Daumen,14424,0,0.8,POSITIV,NEUTRAL
2026-04-30,@Katzemimi2011,Ich würde genau diesen Podcast als besonders wertvoll einstufen,12889,1,0.8,POSITIV,POSITIV
2026-04-30,@MsSwiss1,"Wie schön ihn zu hören ohne dumme Zwischenrufe, ohne Hass Gesänge. Sehr angenehn.",11745,0.375,0.8,POSITIV,POSITIV
2026-04-30,@tom16261,"Wie tief ist Deutschland inzwischen gesunken, dass es mittlerweile als ""mutig"" gilt, solche Gespräche zu führen. Danke Ben und Herr Höcke!",10770,0.5,0.5,POSITIV,POSITIV
2026-04-30,@Aereton,"fast 1 Millionen Aufrufe in unter 24 Stunden, top!
Deutschland, ich glaube wir müssen mal endlich reden",9042,0.5,0.8,POSITIV,POSITIV
2026-04-30,@julianator,"Bens medialer Beitrag ist 100x wertvoller als der Nonsens, den die Öffentlich-Rechtlichen den ganzen Tag absondern.",8213,1,0.8,POSITIV,POSITIV
2026-04-30,@Nonowness,"Was ich sehr angenehm finde, dass da so viel Ruhe im Gespräch liegt,",6466,0.5,0.8,POSITIV,POSITIV
2026-04-30,@benbennobensenmuller9774,Aus tiefstem Herzen ein Dankeschön für dieses faire Interview!,5858,0,0.9,POSITIV,NEUTRAL
2026-04-30,@asnierkishcowboy,"Ok...Höcke ist gebildet, ruhig und um Deutschland besorgt. Kein Wunder das er nie ins Fernsehn eingeladen wird.",5092,0.275,0,NEUTRAL,POSITIV
2026-04-30,@freixen01,Wo ist denn nun der ganze Hass und die Hetze? Und wer spaltet wirklich unsere Gesellschaft? Großartiges Interview und zugleich eine schallende Ohrfeigen für den ÖRR!,4876,0.667,0.9,POSITIV,POSITIV
2026-04-30,@IckeAlbinus,"Danke Ben ❤ ich möchte es nicht Mut nennen, sondern Souveränität. Behalte Diese ☝🏼",3851,0.5,0.8,POSITIV,POSITIV
2026-04-30,@mullewupp7712,"Dieses Gespräch ist Balsam für meine Seele!
Ganz dickes Dankeschön für so einen Hörschatz❤",3711,-0.35,0.9,POSITIV,NEGATIV
2026-04-30,@marchall_d.waterlaw5053,"Eigentlich wurde hier im Kommentarbereich schon alles wichtige gesagt, da bleibt einem nur noch eine großes Dankeschön ❤",3328,0.8,0.8,POSITIV,POSITIV
2026-04-30,@vilacci,"Jetzt verstehe ich, warum Herr Höcke so sehr bekämpft wird! Er sagt die Wahrheit! ...",3137,0,0.6,POSITIV,NEUTRAL
